time,vrms,irms,p_est,pf,vrms_raw,irms_raw,pactive_raw,pimag_raw,papparent_raw
2026-07-08T18:37:25,120.41172628981933,7.3884837705646955,889.6600854780083,-1.0,13835,4507,-476,43,951
2026-07-08T18:37:26,120.41172628981933,7.391774121831926,890.0562823541954,-1.0,13835,4509,-476,43,951
2026-07-08T18:37:27,120.42050649444889,7.383548243663851,889.1306192281994,-1.0,13836,4504,-476,43,950
2026-07-08T18:37:28,120.42050649444889,7.38683859493108,889.5268449943438,-1.0,13836,4506,-475,0,950
2026-07-08T18:37:29,120.42928669907845,7.391774121831926,890.1860849329258,-1.0,13837,4509,-476,0,952
2026-07-08T18:37:30,120.49952833611495,7.390128946198311,890.5070523599667,-1.0,13845,4508,-476,0,952
2026-07-08T18:37:31,120.45562731296714,7.39670964873277,890.9753007899826,-1.0,13840,4512,-477,43,952
2026-07-08T18:37:32,120.42050649444889,7.3884837705646955,889.7249578774162,-1.0,13836,4507,-476,43,951
2026-07-08T18:37:33,120.45562731296714,7.395064473099156,890.7771301269956,-1.0,13840,4511,-476,43,951
2026-07-08T18:37:34,120.44684710833758,7.381903068030236,889.1269502036059,-1.0,13839,4503,-476,43,950
2026-07-08T18:37:35,120.33270444815327,7.38683859493108,888.8782654500534,-1.0,13826,4506,-476,43,950
2026-07-08T18:37:36,120.40294608518977,7.393419297465541,890.1894650579451,-1.0,13834,4510,-476,0,952
2026-07-08T18:37:37,120.24490240185764,7.373677189862161,886.6470940377795,-1.0,13816,4498,-474,0,948
2026-07-08T18:37:38,120.30636383426457,7.372032014228546,886.9023657016257,-1.0,13823,4497,-475,43,949
2026-07-08T18:37:39,120.40294608518977,7.3884837705646955,889.5952130786006,-1.0,13834,4507,-476,43,951
2026-07-08T18:37:40,120.23612219722808,7.380257892396621,887.3735897972571,-1.0,13815,4502,-475,0,949
2026-07-08T18:37:41,120.37660547130108,7.38683859493108,889.2025552221986,-1.0,13831,4506,-476,43,950
2026-07-08T18:37:42,120.42050649444889,7.385193419297466,889.3287321112717,-1.0,13836,4505,-476,0,951
2026-07-08T18:37:43,120.9560989768522,0.0,0.0,-0.375,13897,16,-2,7,8
2026-07-08T18:37:44,120.92097815833395,0.0,0.0,-0.427734375,13893,16,-2,6,7
2026-07-08T18:37:45,120.99121979537045,0.0,0.0,-0.5,13901,16,-2,5,6
2026-07-08T18:37:46,121.03512081851827,0.0,0.0,-0.427734375,13906,16,-2,6,7
2026-07-08T18:37:47,121.00878020462957,0.0,0.0,-0.28515625,13903,16,-1,6,7
2026-07-08T18:37:48,121.00000000000001,0.0,0.0,-0.427734375,13902,16,-2,6,7
2026-07-08T18:37:49,121.05268122777738,0.0,0.0,-0.5712890625,13908,16,-2,5,7
2026-07-08T18:37:50,121.02634061388869,0.0,0.0,-0.427734375,13905,16,-2,6,7
2026-07-08T18:37:51,121.00000000000001,0.0,0.0,-0.5,13902,16,-2,6,8
2026-07-08T18:37:52,121.04390102314782,0.0,0.0,-0.5712890625,13907,16,-2,5,7
2026-07-08T18:37:53,121.03512081851827,0.0,0.0,-0.3330078125,13906,16,-1,5,6
2026-07-08T18:37:54,121.1668238879617,0.0,0.0,-0.5,13921,16,-2,6,8
2026-07-08T18:37:55,121.05268122777738,0.0,0.0,-0.5,13908,16,-2,7,8
2026-07-08T18:37:56,120.92975836296351,0.0,0.0,-0.5,13894,16,-2,5,6
2026-07-08T18:37:57,120.96487918148176,0.0,0.0,-0.5,13898,16,-2,6,8
2026-07-08T18:37:58,120.9560989768522,0.0,0.0,-0.5,13897,16,-2,6,8
2026-07-08T18:37:59,120.92975836296351,0.0,0.0,-0.375,13894,16,-2,7,8
2026-07-08T18:38:00,121.00878020462957,0.0,0.0,-0.375,13903,16,-2,5,8
2026-07-08T18:38:01,120.9560989768522,0.0,0.0,-0.427734375,13897,16,-2,6,7
2026-07-08T18:38:02,120.85073652129745,0.0,0.0,-0.427734375,13885,16,-2,6,7
2026-07-08T18:38:03,120.99121979537045,0.0,0.0,-0.3330078125,13901,16,-2,8,9
2026-07-08T18:38:04,120.97365938611132,0.0,0.0,-0.5712890625,13899,16,-2,5,7
2026-07-08T18:38:05,121.13170306944345,0.0,0.0,-0.5,13917,16,-2,6,8
2026-07-08T18:38:06,120.94731877222264,0.0,0.0,-0.666015625,13896,16,-5,11,15
